ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
9152.0,'01',1.0,'01',1,1,TS
9153.0,'01',1.0,'01',1,1,TS
9154.0,'01',1.0,'01',1,1,TS
9155.0,'01',0.816,'01 10',2,1,TS
9155.0,'10',0.184,'01 10',2,1,TS
9156.0,'01',1.0,'01',1,1,TS
9157.0,'01',0.011,'01 10',2,1,TS
9157.0,'10',0.989,'01 10',2,1,TS
9158.0,'10',1.0,'10',1,1,TS
9159.0,'10',1.0,'10',1,1,TS
9160.0,'10',1.0,'10',1,1,TS
9161.0,'01',0.576,'01 10',2,1,TS
9161.0,'10',0.424,'01 10',2,1,TS
9162.0,'10',1.0,'10',1,1,TS
9163.0,'10',1.0,'10',1,1,TS
9164.0,'01',1.0,'01',1,1,TS
9165.0,'10',1.0,'10',1,1,TS
9166.0,'01',1.0,'01',1,1,TS
9167.0,'01',0.91,'01 10',2,1,TS
9167.0,'10',0.09,'01 10',2,1,TS
9168.0,'01',1.0,'01',1,1,TS
9169.0,'01',0.165,'01 10',2,1,TS
9169.0,'10',0.835,'01 10',2,1,TS
9170.0,'01',1.0,'01',1,1,TS
9171.0,'10',1.0,'10',1,1,TS
9172.0,'10',1.0,'10',1,1,TS
9173.0,'01',0.955,'01 10',2,1,TS
9173.0,'10',0.045,'01 10',2,1,TS
9174.0,'01',0.022,'01 10',2,1,TS
9174.0,'10',0.978,'01 10',2,1,TS
9175.0,'01',1.0,'01',1,1,TS
9176.0,'01',1.0,'01',1,1,TS
9177.0,'10',1.0,'10',1,1,TS
9178.0,'10',1.0,'10',1,1,TS
9179.0,'01',1.0,'01',1,1,TS
9180.0,'01',1.0,'01',1,1,TS
9181.0,'01',1.0,'01',1,1,TS
9182.0,'01',0.112,'01 10',2,1,TS
9182.0,'10',0.888,'01 10',2,1,TS
9183.0,'10',1.0,'10',1,1,TS
9184.0,'01',0.381,'01 10',2,1,TS
9184.0,'10',0.619,'01 10',2,1,TS
9185.0,'10',1.0,'10',1,1,TS
9186.0,'01',0.912,'01 10',2,1,TS
9186.0,'10',0.088,'01 10',2,1,TS
9187.0,'01',0.426,'01 10',2,1,TS
9187.0,'10',0.574,'01 10',2,1,TS
9188.0,'10',1.0,'10',1,1,TS
9189.0,'10',1.0,'10',1,1,TS
9190.0,'10',1.0,'10',1,1,TS
9191.0,'00',1.0,'00',1,1,TS
9192.0,'01',0.75,'01 10',2,1,TS
9192.0,'10',0.25,'01 10',2,1,TS
9193.0,'01',1.0,'01',1,1,TS
9194.0,'01',0.826,'01 10',2,1,TS
9194.0,'10',0.174,'01 10',2,1,TS
9195.0,'01',1.0,'01',1,1,TS
9196.0,'10',1.0,'10',1,1,TS
9197.0,'01',0.239,'01 10',2,1,TS
9197.0,'10',0.761,'01 10',2,1,TS
9198.0,'01',1.0,'01',1,1,TS
9199.0,'10',1.0,'10',1,1,TS
9200.0,'11',1.0,'11',1,1,TS
9201.0,'01',0.778,'01 10',2,1,TS
9201.0,'10',0.222,'01 10',2,1,TS
9202.0,'01',0.212,'01 10',2,1,TS
