ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
3849.0,'01',0.082,'01 10',2,1,TSSA
3849.0,'10',0.918,'01 10',2,1,TSSA
3850.0,'01',0.031,'01 10',2,1,TSSA
3850.0,'10',0.969,'01 10',2,1,TSSA
3851.0,'00',0.172,'00 10',2,1,TSSA
3851.0,'10',0.828,'00 10',2,1,TSSA
3852.0,'10',1.0,'10',1,1,TSSA
3853.0,'00',0.122,'00 01',2,1,TSSA
3853.0,'01',0.878,'00 01',2,1,TSSA
3854.0,'01',1.0,'01',1,1,TSSA
3855.0,'01',1.0,'01',1,1,TSSA
3856.0,'01',0.816,'01 10',2,1,TSSA
3856.0,'10',0.184,'01 10',2,1,TSSA
3857.0,'01',1.0,'01',1,1,TSSA
3858.0,'01',0.09,'01 10',2,1,TSSA
3858.0,'10',0.91,'01 10',2,1,TSSA
3859.0,'01',1.0,'01',1,1,TSSA
3860.0,'01',0.931,'01 10',2,1,TSSA
3860.0,'10',0.069,'01 10',2,1,TSSA
3861.0,'01',0.65,'01 10',2,1,TSSA
3861.0,'10',0.35,'01 10',2,1,TSSA
3862.0,'01',0.19,'01 10',2,1,TSSA
3862.0,'10',0.81,'01 10',2,1,TSSA
3863.0,'01',0.033,'01 10',2,1,TSSA
3863.0,'10',0.967,'01 10',2,1,TSSA
3864.0,'01',0.821,'01 10',2,1,TSSA
3864.0,'10',0.179,'01 10',2,1,TSSA
3865.0,'01',0.885,'01 10',2,1,TSSA
3865.0,'10',0.115,'01 10',2,1,TSSA
3866.0,'01',0.604,'01 10',2,1,TSSA
3866.0,'10',0.396,'01 10',2,1,TSSA
3867.0,'10',1.0,'10',1,1,TSSA
3868.0,'01',0.778,'01 10',2,1,TSSA
3868.0,'10',0.222,'01 10',2,1,TSSA
3869.0,'01',0.029,'01 10',2,1,TSSA
3869.0,'10',0.971,'01 10',2,1,TSSA
3870.0,'01',0.038,'01 10',2,1,TSSA
3870.0,'10',0.962,'01 10',2,1,TSSA
3871.0,'01',0.972,'01 10',2,1,TSSA
3871.0,'10',0.028,'01 10',2,1,TSSA
3872.0,'00',0.522,'00 01 10',3,1,TSSA
3872.0,'01',0.049,'00 01 10',3,1,TSSA
3872.0,'10',0.429,'00 01 10',3,1,TSSA
3873.0,'01',0.943,'01 10',2,1,TSSA
3873.0,'10',0.057,'01 10',2,1,TSSA
3874.0,'00',0.795,'00 10',2,1,TSSA
3874.0,'10',0.205,'00 10',2,1,TSSA
3875.0,'01',0.016,'01 10',2,1,TSSA
3875.0,'10',0.984,'01 10',2,1,TSSA
3876.0,'10',1.0,'10',1,1,TSSA
3877.0,'01',0.798,'01 10',2,1,TSSA
3877.0,'10',0.202,'01 10',2,1,TSSA
3878.0,'01',0.372,'01 10',2,1,TSSA
3878.0,'10',0.628,'01 10',2,1,TSSA
3879.0,'01',0.782,'01 10',2,1,TSSA
3879.0,'10',0.218,'01 10',2,1,TSSA
3880.0,'01',1.0,'01',1,1,TSSA
3881.0,'01',0.015,'01 10',2,1,TSSA
3881.0,'10',0.985,'01 10',2,1,TSSA
